"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Health_Consciousness_Rate",3.58009299601838,3.61823869649028,1.89067083378632,5.05051329468691,0.97979797979798,"Confirmed"
"Sulphate_content",2.38870058923275,2.40625575683484,-0.385304022807601,4.06981465919413,0.676767676767677,"Confirmed"
"Personal_Consumption_Expenditures",6.21521926831937,6.25805582210906,4.86620645745348,7.30834582804724,1,"Confirmed"
"Population_growth",6.1985645600084,6.19983185618536,4.70041519905266,7.14192702220872,1,"Confirmed"
"Consumer_Price_Index_Urban",6.01820587618251,5.99652867347712,4.42983598210351,7.01325916666351,1,"Confirmed"
"Total_Market_Size_Monthly",5.98431763963945,5.96566439561812,4.72914181358244,7.28900294186731,1,"Confirmed"
"Market_Share",5.71739881763331,5.77462168352273,4.72353187403565,7.02823535706727,1,"Confirmed"
"Price_Per_Unit",3.67185154861903,3.66494073392407,1.97013945659199,5.08685231732355,0.95959595959596,"Confirmed"
"Advertising_costs",0.835481804402492,0.970605415206221,-1.45708849490583,1.97216399662239,0,"Rejected"
"Number_of_Distributors",5.51889343359694,5.47360403664545,3.77818275125339,7.31234325487139,1,"Confirmed"
"Number_of_Retail_Locations",5.82466984149296,5.8507424905843,4.15114969415314,7.20708369128034,1,"Confirmed"
"Discount_Percentage",2.02251279412209,2.00204287943857,0.321658327620258,3.36326214600131,0.505050505050505,"Rejected"
"Temperature",0.026502179432133,-0.0788923592496193,-1.8828316714914,2.09304207718323,0.0202020202020202,"Rejected"
"NORTH_REGION",3.48938273658076,3.50979387712927,1.05534762164896,5.59706524737225,0.94949494949495,"Confirmed"
