"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Health_Consciousness_Rate",1.41937023981438,1.59774453556364,-0.665829850485455,2.61473682034544,0.0606060606060606,"Rejected"
"Sulphate_content",1.81327954079705,1.83614419681527,0.0712141863188358,4.19653813919095,0.323232323232323,"Rejected"
"Personal_Consumption_Expenditures",4.84222188582753,4.85771592193997,3.58605659041841,5.82952318811601,1,"Confirmed"
"Population_growth",4.80171683252129,4.78284313009306,3.42797006806808,6.10341442096307,1,"Confirmed"
"Consumer_Price_Index_Urban",5.34831645120902,5.34925679097951,4.47351681555967,6.45073241425875,1,"Confirmed"
"Total_Market_Size_Monthly",5.26451595820436,5.2762621103722,4.17680106685888,6.51154249959641,1,"Confirmed"
"Market_Share",6.88442727495444,6.83921765243584,5.4955279128795,8.29948068850639,1,"Confirmed"
"Price_Per_Unit",4.57001285657238,4.59670069968027,2.97314344663604,6.01825208280052,1,"Confirmed"
"Advertising_costs",-0.749542869774916,-0.47269603886183,-1.62110946111625,-0.0180962535746665,0,"Rejected"
"Number_of_Distributors",6.52507047947862,6.58310283010053,4.74760176917258,8.48822148243602,1,"Confirmed"
"Number_of_Retail_Locations",6.33450002137497,6.4210936565521,4.22986226312554,9.15551508971395,1,"Confirmed"
"Discount_Percentage",4.19820650070176,4.13759274773141,1.88209076290933,6.51917274585617,0.96969696969697,"Confirmed"
"Temperature",0.313886214418765,0.219747052428808,-0.900139762872648,1.93699274785786,0,"Rejected"
"NORTH_REGION",1.93600500792441,1.99898506878518,-0.325220696182436,4.05440046992098,0.393939393939394,"Rejected"
